type,defName,fileName,lineno,MLOC,PAR,DOC,RMLOC
DEF,InventoryCLI.dump,D:\ansible\cli\inventory.py,158,24,1,0,31
DEF,InventoryCLI._get_group_variables,D:\ansible\cli\inventory.py,190,7,2,0,14
DEF,InventoryCLI._get_host_variables,D:\ansible\cli\inventory.py,205,7,2,0,15
DEF,InventoryCLI._get_group,D:\ansible\cli\inventory.py,221,2,2,0,3
DEF,InventoryCLI._remove_internal,D:\ansible\cli\inventory.py,226,5,1,0,7
DEF,InventoryCLI._remove_empty_keys,D:\ansible\cli\inventory.py,235,4,1,0,5
DEF,InventoryCLI._show_vars,D:\ansible\cli\inventory.py,242,5,2,0,5
DEF,InventoryCLI._graph_name,D:\ansible\cli\inventory.py,249,4,1,0,4
DEF,InventoryCLI._graph_group,D:\ansible\cli\inventory.py,254,12,2,0,17
DEF,InventoryCLI.inventory_graph,D:\ansible\cli\inventory.py,272,4,1,0,7
DEF,InventoryCLI.json_inventory,D:\ansible\cli\inventory.py,280,10,2,2,36
DEF,InventoryCLI.format_group,D:\ansible\cli\inventory.py,284,27,2,0,35
DEF,InventoryCLI.yaml_inventory,D:\ansible\cli\inventory.py,317,5,2,2,47
DEF,InventoryCLI.toml_inventory,D:\ansible\cli\inventory.py,365,7,2,2,45
DEF,main,D:\ansible\cli\inventory.py,412,0,0,0,2
DEF,PlaybookCLI.init_parser,D:\ansible\cli\playbook.py,37,21,1,0,30
DEF,PlaybookCLI.post_process_args,D:\ansible\cli\playbook.py,68,8,2,0,18
DEF,PlaybookCLI.run,D:\ansible\cli\playbook.py,87,71,1,0,143
DEF,PlaybookCLI._process_block,D:\ansible\cli\playbook.py,192,15,1,0,20
DEF,PlaybookCLI._flush_cache,D:\ansible\cli\playbook.py,232,4,2,0,4
DEF,main,D:\ansible\cli\playbook.py,238,0,0,0,2
DEF,PullCLI._get_inv_cli,D:\ansible\cli\pull.py,67,9,1,0,10
DEF,PullCLI.init_parser,D:\ansible\cli\pull.py,78,39,1,0,51
DEF,PullCLI.post_process_args,D:\ansible\cli\pull.py,130,19,2,0,28
DEF,PullCLI.run,D:\ansible\cli\pull.py,159,116,1,0,163
DEF,PullCLI.try_playbook,D:\ansible\cli\pull.py,324,6,1,0,6
DEF,PullCLI.select_playbook,D:\ansible\cli\pull.py,332,30,1,0,32
DEF,main,D:\ansible\cli\pull.py,366,0,0,0,2
DEF,VaultCLI.__init__,D:\ansible\cli\vault.py,44,8,2,0,12
DEF,VaultCLI.init_parser,D:\ansible\cli\vault.py,57,52,1,0,69
DEF,VaultCLI.post_process_args,D:\ansible\cli\vault.py,127,14,2,0,22
DEF,VaultCLI.run,D:\ansible\cli\vault.py,150,59,1,0,103
DEF,VaultCLI.execute_encrypt,D:\ansible\cli\vault.py,254,8,1,0,14
DEF,VaultCLI.format_ciphertext_yaml,D:\ansible\cli\vault.py,270,13,1,0,17
DEF,VaultCLI.execute_encrypt_string,D:\ansible\cli\vault.py,288,58,1,0,109
DEF,VaultCLI._format_output_vault_strings,D:\ansible\cli\vault.py,400,16,2,0,32
DEF,VaultCLI.execute_decrypt,D:\ansible\cli\vault.py,433,6,1,0,11
DEF,VaultCLI.execute_create,D:\ansible\cli\vault.py,445,6,1,0,11
DEF,VaultCLI.execute_edit,D:\ansible\cli\vault.py,457,2,1,0,4
DEF,VaultCLI.execute_view,D:\ansible\cli\vault.py,462,3,1,0,11
DEF,VaultCLI.execute_rekey,D:\ansible\cli\vault.py,474,4,1,0,8
DEF,main,D:\ansible\cli\vault.py,484,0,0,0,2
DEF,check_blocking_io,D:\ansible\cli\__init__.py,21,11,1,0,17
DEF,initialize_locale,D:\ansible\cli\__init__.py,43,11,1,0,18
DEF,CLI.__init__,D:\ansible\cli\__init__.py,128,8,2,0,18
DEF,CLI.run,D:\ansible\cli\__init__.py,148,21,1,0,35
DEF,CLI.split_vault_id,D:\ansible\cli\__init__.py,185,6,1,0,9
DEF,CLI.build_vault_ids,D:\ansible\cli\__init__.py,196,10,1,0,23
DEF,CLI.setup_vault_secrets,D:\ansible\cli\__init__.py,221,56,2,0,100
DEF,CLI._get_secret,D:\ansible\cli\__init__.py,323,5,1,0,6
DEF,CLI.ask_passwords,D:\ansible\cli\__init__.py,331,22,1,0,29
DEF,CLI.validate_conflicts,D:\ansible\cli\__init__.py,361,4,2,0,8
DEF,CLI.init_parser,D:\ansible\cli\__init__.py,371,2,1,0,15
DEF,CLI.post_process_args,D:\ansible\cli\__init__.py,388,24,2,0,59
DEF,CLI.parse,D:\ansible\cli\__init__.py,448,11,1,0,23
DEF,CLI.version_info,D:\ansible\cli\__init__.py,473,21,0,0,24
DEF,CLI.pager,D:\ansible\cli\__init__.py,499,12,1,0,17
DEF,CLI.pager_pipe,D:\ansible\cli\__init__.py,518,10,1,0,11
DEF,CLI._play_prereqs,D:\ansible\cli\__init__.py,531,24,1,0,39
DEF,CLI.get_host_list,D:\ansible\cli\__init__.py,572,11,2,0,16
DEF,CLI.get_password_from_file,D:\ansible\cli\__init__.py,590,29,1,0,40
DEF,CLI.cli_executor,D:\ansible\cli\__init__.py,632,51,1,0,69
DEF,SortingHelpFormatter.add_arguments,D:\ansible\cli\arguments\option_helpers.py,28,2,2,0,3
DEF,ArgumentParser.add_argument,D:\ansible\cli\arguments\option_helpers.py,34,6,3,0,7
DEF,AnsibleVersion.__call__,D:\ansible\cli\arguments\option_helpers.py,44,3,4,0,4
DEF,UnrecognizedArgument.__init__,D:\ansible\cli\arguments\option_helpers.py,51,0,3,0,3
DEF,UnrecognizedArgument.__call__,D:\ansible\cli\arguments\option_helpers.py,55,0,4,0,2
DEF,PrependListAction.__init__,D:\ansible\cli\arguments\option_helpers.py,63,15,3,0,20
DEF,PrependListAction.__call__,D:\ansible\cli\arguments\option_helpers.py,84,3,4,0,4
DEF,ensure_value,D:\ansible\cli\arguments\option_helpers.py,90,3,3,0,4
DEF,unfrack_path,D:\ansible\cli\arguments\option_helpers.py,99,2,0,2,11
DEF,inner,D:\ansible\cli\arguments\option_helpers.py,101,3,1,0,4
DEF,maybe_unfrack_path,D:\ansible\cli\arguments\option_helpers.py,112,2,1,2,7
DEF,_git_repo_info,D:\ansible\cli\arguments\option_helpers.py,121,30,1,0,41
DEF,_gitinfo,D:\ansible\cli\arguments\option_helpers.py,164,3,1,0,4
DEF,version,D:\ansible\cli\arguments\option_helpers.py,170,18,0,0,23
DEF,create_base_parser,D:\ansible\cli\arguments\option_helpers.py,199,10,1,0,18
DEF,add_verbosity_options,D:\ansible\cli\arguments\option_helpers.py,219,2,1,0,6
DEF,add_async_options,D:\ansible\cli\arguments\option_helpers.py,227,4,1,0,6
DEF,add_basedir_options,D:\ansible\cli\arguments\option_helpers.py,235,3,1,0,6
DEF,add_check_options,D:\ansible\cli\arguments\option_helpers.py,243,4,1,0,7
DEF,add_connect_options,D:\ansible\cli\arguments\option_helpers.py,252,24,1,0,32
DEF,add_fork_options,D:\ansible\cli\arguments\option_helpers.py,286,2,1,0,4
DEF,add_inventory_options,D:\ansible\cli\arguments\option_helpers.py,292,6,1,0,8
DEF,add_meta_options,D:\ansible\cli\arguments\option_helpers.py,302,4,1,0,6
DEF,add_module_options,D:\ansible\cli\arguments\option_helpers.py,310,4,1,0,6
DEF,add_output_options,D:\ansible\cli\arguments\option_helpers.py,318,4,1,0,6
DEF,add_runas_options,D:\ansible\cli\arguments\option_helpers.py,326,10,1,0,21
DEF,add_runas_prompt_options,D:\ansible\cli\arguments\option_helpers.py,349,9,1,0,19
DEF,add_runtask_options,D:\ansible\cli\arguments\option_helpers.py,370,2,1,0,4
DEF,add_tasknoplay_options,D:\ansible\cli\arguments\option_helpers.py,376,2,1,0,4
DEF,add_subset_options,D:\ansible\cli\arguments\option_helpers.py,382,4,1,0,6
DEF,add_vault_options,D:\ansible\cli\arguments\option_helpers.py,390,7,1,0,9
DEF,read_stream,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,34,5,1,0,8
DEF,file_lock,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,45,6,1,0,12
DEF,ConnectionProcess.__init__,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,64,10,5,0,14
DEF,ConnectionProcess.start,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,79,27,2,0,36
DEF,ConnectionProcess.run,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,116,33,1,0,50
DEF,ConnectionProcess.connect_timeout,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,167,4,3,0,5
DEF,ConnectionProcess.command_timeout,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,173,4,3,0,5
DEF,ConnectionProcess.handler,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,179,3,3,0,4
DEF,ConnectionProcess.shutdown,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,184,19,1,0,25
DEF,main,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,211,89,0,0,128
DEF,list_collections,D:\ansible\collections\list.py,16,6,0,0,7
DEF,list_collection_dirs,D:\ansible\collections\list.py,26,28,0,0,38
DEF,_get_entry,D:\ansible\config\manager.py,33,7,3,0,9
DEF,ensure_type,D:\ansible\config\manager.py,45,64,2,0,114
DEF,resolve_path,D:\ansible\config\manager.py,162,3,1,0,6
DEF,get_config_type,D:\ansible\config\manager.py,171,9,1,0,13
DEF,get_ini_config_value,D:\ansible\config\manager.py,187,7,2,0,9
DEF,find_ini_config_file,D:\ansible\config\manager.py,198,32,0,0,63
DEF,_add_base_defs_deprecations,D:\ansible\config\manager.py,263,7,1,2,12
DEF,process,D:\ansible\config\manager.py,265,2,1,0,3
DEF,ConfigManager.__init__,D:\ansible\config\manager.py,282,11,1,0,22
DEF,ConfigManager.template_default,D:\ansible\config\manager.py,305,7,3,0,10
DEF,ConfigManager._read_config_yaml_file,D:\ansible\config\manager.py,316,6,2,0,9
DEF,ConfigManager._parse_config_file,D:\ansible\config\manager.py,326,16,1,0,26
DEF,ConfigManager._find_yaml_config_files,D:\ansible\config\manager.py,353,1,1,0,3
DEF,ConfigManager.get_plugin_options,D:\ansible\config\manager.py,357,5,3,0,8
DEF,ConfigManager.get_plugin_vars,D:\ansible\config\manager.py,366,6,3,0,8
DEF,ConfigManager.get_plugin_options_from_var,D:\ansible\config\manager.py,375,7,4,0,9
DEF,ConfigManager.get_configuration_definition,D:\ansible\config\manager.py,385,7,2,0,11
DEF,ConfigManager.has_configuration_definition,D:\ansible\config\manager.py,397,4,3,0,7
DEF,ConfigManager.get_configuration_definitions,D:\ansible\config\manager.py,405,11,1,0,17
DEF,ConfigManager._loop_entries,D:\ansible\config\manager.py,423,17,3,0,25
DEF,ConfigManager.get_config_value,D:\ansible\config\manager.py,449,8,2,0,11
DEF,ConfigManager.get_config_value_and_origin,D:\ansible\config\manager.py,461,99,2,0,152
DEF,ConfigManager.initialize_plugin_configuration_definitions,D:\ansible\config\manager.py,614,3,4,0,6
