class_name,degree,neighbors_count,in_degree,out_degree,self_loops,nodes_inherit,nodes_inherited,nodes_aggregate,nodes_aggregated,nodes_combinate,nodes_combinated,RCLOC,CLOC,NOA,NOM,fileName,lineno
ansible.module_utils.urls.ConnectionError,2,0,2,0,0,0,2,0,0,0,0,3.0,2.0,0.0,0.0,D:\ansible\module_utils\urls.py,187.0
ansible.playbook.attribute.ConnectionFieldAttribute,2,2,0,2,0,1,0,0,0,1,0,17.0,2.0,0.0,1.0,D:\ansible\playbook\attribute.py,181.0
ansible.cli.scripts.ansible_connection_cli_stub.ConnectionProcess,1,0,1,0,0,0,0,0,0,0,1,150.0,8.0,0.0,7.0,D:\ansible\cli\scripts\ansible_connection_cli_stub.py,59.0
ansible.cli.console.ConsoleCLI,4,0,4,0,0,0,0,0,0,0,4,563.0,57.0,8.0,48.0,D:\ansible\cli\console.py,37.0
ansible.modules.cron.CronTab,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,D:\ansible\modules\cron.py,222.0
ansible.modules.cron.CronTabError,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0,D:\ansible\modules\cron.py,222.0
ansible.modules.hostname.CumulusHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,738.0
ansible.module_utils.facts.collector.CycleFoundInFactDeps,0,0,0,0,0,0,0,0,0,0,0,9.0,2.0,0.0,0.0,D:\ansible\module_utils\facts\collector.py,40.0
ansible.modules.group.DarwinGroup,1,1,0,1,0,1,0,0,0,0,0,67.0,7.0,2.0,4.0,D:\ansible\modules\group.py,401.0
ansible.module_utils.facts.hardware.darwin.DarwinHardware,2,2,0,2,0,1,0,0,0,1,0,127.0,8.0,1.0,6.0,D:\ansible\module_utils\facts\hardware\darwin.py,27.0
ansible.module_utils.facts.hardware.darwin.DarwinHardwareCollector,2,1,1,1,0,1,0,0,0,0,1,3.0,3.0,2.0,0.0,D:\ansible\module_utils\facts\hardware\darwin.py,156.0
ansible.modules.hostname.DarwinHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,846.0
ansible.module_utils.facts.network.darwin.DarwinNetwork,2,2,0,2,0,1,0,0,0,1,0,22.0,3.0,1.0,1.0,D:\ansible\module_utils\facts\network\darwin.py,22.0
ansible.module_utils.facts.network.darwin.DarwinNetworkCollector,2,1,1,1,0,1,0,0,0,0,1,3.0,3.0,2.0,0.0,D:\ansible\module_utils\facts\network\darwin.py,46.0
ansible.modules.hostname.DarwinStrategy,2,2,0,2,0,1,0,0,0,1,0,94.0,9.0,0.0,8.0,D:\ansible\modules\hostname.py,508.0
ansible.modules.user.DarwinUser,1,1,0,1,0,1,0,0,0,0,0,358.0,26.0,5.0,14.0,D:\ansible\modules\user.py,2253.0
ansible.parsing.dataloader.DataLoader,4,4,0,4,0,0,0,0,0,4,0,447.0,23.0,0.0,23.0,D:\ansible\parsing\dataloader.py,33.0
ansible.module_utils.facts.system.date_time.DateTimeFactCollector,1,1,0,1,0,1,0,0,0,0,0,42.0,4.0,2.0,1.0,D:\ansible\module_utils\facts\system\date_time.py,28.0
ansible.modules.hostname.DebianHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,726.0
ansible.modules.hostname.DeepinHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,792.0
ansible.playbook.delegatable.Delegatable,5,0,5,0,0,0,4,0,0,0,1,9.0,3.0,2.0,1.0,D:\ansible\playbook\delegatable.py,9.0
ansible.module_utils.errors.DeprecationError,1,1,0,1,0,1,0,0,0,0,0,2.0,1.0,0.0,0.0,D:\ansible\module_utils\errors.py,77.0
ansible.modules.hostname.DevuanHostname,2,1,1,1,0,1,0,0,0,0,1,4.0,4.0,3.0,0.0,D:\ansible\modules\hostname.py,774.0
ansible.utils.display.Display,1,0,1,0,0,0,0,0,1,0,0,601.0,36.0,0.0,35.0,D:\ansible\utils\display.py,261.0
ansible.executor.task_queue_manager.DisplaySend,0,0,0,0,0,0,0,0,0,0,0,5.0,1.0,0.0,1.0,D:\ansible\executor\task_queue_manager.py,61.0
ansible.module_utils.facts.system.distribution.Distribution,0,0,0,0,0,0,0,0,0,0,0,451.0,50.0,4.0,18.0,D:\ansible\module_utils\facts\system\distribution.py,48.0
